name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[417]",13,0.021,1.3,11,13,16,3936,1826,1.00
"mu[418]",-6.2,0.019,1.2,-8.3,-6.2,-4.2,4064,1885,1.00
"mu[419]",5.6,0.014,0.93,4.0,5.6,7.1,4140,1920,1.00
"mu[420]",2.8,0.014,0.89,1.4,2.8,4.3,4184,1941,1.0
"mu[421]",6.7,0.015,0.97,5.1,6.7,8.3,4112,1907,1.00
"mu[422]",0.016,0.014,0.93,-1.5,0.024,1.5,4188,1942,1.0
"mu[423]",-2.4,0.016,1.0,-4.1,-2.4,-0.75,4155,1927,1.0
"mu[424]",8.0,0.016,1.0,6.3,8.0,9.7,4077,1891,1.00
"mu[425]",15,0.024,1.5,13,15,17,3908,1813,1.00
"mu[426]",-3.5,0.017,1.1,-5.3,-3.5,-1.7,4095,1900,1.0
"mu[427]",13,0.021,1.3,11,13,15,3938,1826,1.00
"mu[428]",4.4,0.014,0.90,2.9,4.4,5.9,4163,1931,1.00
"mu[429]",17,0.027,1.7,15,17,20,3881,1800,1.00
"mu[430]",10,0.018,1.1,8.2,10,12,4011,1860,1.00
"mu[431]",0.85,0.014,0.91,-0.62,0.85,2.3,4191,1944,1.0
"mu[432]",-0.069,0.014,0.93,-1.6,-0.062,1.5,4187,1942,1.0
"mu[433]",12,0.020,1.3,10,13,15,3952,1833,1.00
"mu[434]",4.9,0.014,0.91,3.4,4.9,6.4,4153,1926,1.00
"mu[435]",-9.2,0.023,1.4,-11,-9.2,-6.7,4004,1857,1.00
"mu[436]",-0.29,0.014,0.93,-1.8,-0.28,1.3,4186,1941,1.0
"mu[437]",1.8,0.014,0.89,0.33,1.8,3.3,4190,1944,1.0
"mu[438]",-6.5,0.020,1.2,-8.5,-6.5,-4.4,4058,1882,1.00
"mu[439]",-1.2,0.015,0.96,-2.8,-1.2,0.38,4176,1937,1.0
"mu[440]",-8.2,0.022,1.4,-10,-8.2,-5.9,4023,1866,1.00
"mu[441]",3.5,0.014,0.89,2.0,3.5,4.9,4176,1937,1.0
"mu[442]",-4.7,0.018,1.1,-6.5,-4.7,-2.8,4105,1904,1.0
"mu[443]",-9.4,0.023,1.5,-12,-9.4,-6.9,4000,1855,1.00
"mu[444]",2.4,0.014,0.89,0.99,2.4,3.9,4187,1942,1.0
"mu[445]",-15,0.030,1.9,-18,-15,-12,3926,1821,1.00
"mu[446]",-20,0.038,2.4,-24,-20,-16,3880,1800,1.00
"mu[447]",-2.6,0.016,1.0,-4.2,-2.6,-0.89,4151,1926,1.0
